kappa,theta,sigma,feller_value,feller_satisfied,log_likelihood,date,start_date,end_date
1.7843434738702149,1e-05,0.10119007945476842,-0.010203745310584942,False,1551.5527152330594,2020-01-03,2019-06-28,2020-07-06
2.006364056219598,1e-05,0.1006893351211179,-0.010098214926008394,False,1576.6751160807237,2020-02-03,2019-07-30,2020-08-05
2.314862779114725,0.0001955340600686093,0.10069634799549311,-0.009234485464225436,False,1601.5712320642458,2020-03-04,2019-08-29,2020-09-03
3.117963880370515,0.0011588447589985693,0.10091126188455983,-0.002956610572105789,False,1626.8022239984325,2020-04-02,2019-09-30,2020-10-05
3.9788459586860045,0.001206815320798216,0.10152588089295916,-0.0007040399670146594,False,1655.1196694097976,2020-05-05,2019-10-30,2020-11-04
5.44302410245568,0.0015430065262657332,0.10199175934305935,0.006394924451529064,True,1682.5617099931146,2020-06-04,2019-11-29,2020-12-04
8.211254882073614,0.0016231082893630158,0.10592166123596808,0.01543611341134525,True,1703.3166537386285,2020-07-07,2020-01-03,2021-01-07
10.0,0.001350542953978685,0.10500891453965484,0.015983986946777166,True,1738.6437133113905,2020-08-06,2020-02-03,2021-02-05
10.0,0.001430887073977825,0.10364119050251444,0.01787624511077801,True,1770.931628415401,2020-09-04,2020-03-04,2021-03-09
10.0,0.001247110678138288,0.06199957407293981,0.02109826637753981,True,1917.40557841939,2020-10-06,2020-04-02,2021-04-08
10.0,0.001126646882864195,0.04506929596678119,0.02050169621834258,True,2005.6125049080647,2020-11-05,2020-05-05,2021-05-07
10.0,0.0011411514087562977,0.04465584089117238,0.020828884049428252,True,2016.0306149773887,2020-12-07,2020-06-04,2021-06-08
10.0,0.0011534331074154745,0.04421273683648945,0.02111389604973682,True,2022.4067542744874,2021-01-08,2020-07-07,2021-07-08
10.0,0.0011884168578533293,0.04417046767080203,0.021817306942809218,True,2023.0343189045375,2021-02-08,2020-08-06,2021-08-09
10.0,0.0012164789381989697,0.04429164799025615,0.022367828682286633,True,2020.9622392150786,2021-03-10,2020-09-04,2021-09-08
10.0,0.0011966575638281383,0.04353128037429121,0.022038178905537616,True,2026.1485509157906,2021-04-09,2020-10-06,2021-10-08
9.867292071615475,0.0013089380646269832,0.044305499313632965,0.02386837110522874,True,2017.8239980641986,2021-05-10,2020-11-05,2021-11-09
7.144312035935879,0.001055201006670549,0.046926537241816633,0.012875270607068516,True,2003.3963747190828,2021-06-09,2020-12-07,2021-12-09
0.1553089346811799,0.018322273835864846,0.04555357232574971,0.00361609770913274,True,2005.1325757430025,2021-07-09,2021-01-08,2022-01-12
0.009535153145658752,0.5,0.05414707699711787,0.006603247198326941,True,1944.3631247964581,2021-08-10,2021-02-08,2022-02-10
0.00988235253187795,0.5,0.056839484001069265,0.006651625590370141,True,1914.6467740579542,2021-09-09,2021-03-10,2022-03-14
0.014823382406117983,0.5,0.062088324955338,0.010968422310358335,True,1871.8456473899055,2021-10-12,2021-04-09,2022-04-12
0.017125212068891088,0.5,0.06771144240471139,0.012540372636364542,True,1822.9591952221176,2021-11-10,2021-05-10,2022-05-12
0.021089482376062174,0.5,0.06917396639553358,0.016304444749171764,True,1789.4222894773181,2021-12-10,2021-06-09,2022-06-13
0.024035155483168508,0.5,0.07367001291649854,0.018607884680051447,True,1744.7026857004657,2022-01-13,2021-07-09,2022-07-13
0.02608103165829559,0.5,0.07402705531092175,0.02060102674028932,True,1714.1865426713034,2022-02-11,2021-08-10,2022-08-12
0.0314645922825685,0.5,0.07440802649173807,0.02592803787617331,True,1682.4089020110932,2022-03-15,2021-09-09,2022-09-13
0.040372474771500994,0.5,0.07365272180576872,0.03494775134210303,True,1650.1395508069327,2022-04-13,2021-10-12,2022-10-14
0.04685613122423396,0.5,0.07356091490968977,0.041444923021883344,True,1615.5628754156378,2022-05-13,2021-11-10,2022-11-15
0.09871094894910627,0.5,0.06763790571654235,0.0941360626593864,True,1597.6511846993355,2022-06-14,2021-12-10,2022-12-14
0.10643208210354244,0.5,0.06408368916388764,0.10232536288668867,True,1576.1694788688083,2022-07-14,2022-01-13,2023-01-17
0.1224933159860433,0.5,0.056445494507330836,0.11930722213586618,True,1582.4049738415772,2022-08-15,2022-02-11,2023-02-15
1.0740367474557009,0.08177426777700543,0.05281757478648818,0.17286744097124662,True,1577.2847340265657,2022-09-14,2022-03-15,2023-03-17
2.2612483948724402,0.055858352653760865,0.0466722148628185,0.2504409249168698,True,1589.4001138247258,2022-10-17,2022-04-13,2023-04-18
3.0394765646356507,0.051490384989033765,0.03637831132704273,0.3116842554214636,True,1639.4539792611663,2022-11-16,2022-05-13,2023-05-17
3.1207941516877873,0.05277268803804095,0.03513708029464152,0.32815077798429243,True,1636.3290478558165,2022-12-15,2022-06-14,2023-06-19
3.0451871543361877,0.05313960592726131,0.02609590070828229,0.32295909467859,True,1702.0461674081898,2023-01-18,2022-07-14,2023-07-19
4.677034732732514,0.05051931032704977,0.024366139119570744,0.471967429411014,True,1713.247961756163,2023-02-16,2022-08-15,2023-08-21
2.9861522504559277,0.05308269456883165,0.023289833279353245,0.3164835993597825,True,1718.9886604386454,2023-03-20,2022-09-14,2023-09-20
1.8965382962319313,0.056362480713918334,0.02285229587027245,0.21326497886261703,True,1719.6811409563804,2023-04-19,2022-10-17,2023-10-23
2.526998969152934,0.05313298853438058,0.01980677130473568,0.2681417063192707,True,1753.2443388927309,2023-05-18,2022-11-16,2023-11-22
2.4479369059732403,0.05306870447871655,0.017809000154977647,0.25950052000475526,True,1777.7372559621238,2023-06-20,2022-12-15,2023-12-21
1.8471041851652135,0.05352985912699769,0.017196065599774192,0.19745474897745172,True,1784.6726765320109,2023-07-20,2023-01-18,2024-01-24
1.6088395133790494,0.05301285446091419,0.016709782575247138,0.17029913311375106,True,1790.5361132224712,2023-08-22,2023-02-16,2024-02-23
4.081322328028862,0.05129431444954615,0.015153935827761473,0.41846761995666043,True,1814.9718436165206,2023-09-21,2023-03-20,2024-03-25
6.446940084629713,0.05080084067169323,0.014779819087189693,0.6548015090662029,True,1820.946427239326,2023-10-24,2023-04-19,2024-04-24
